StockCode,ProductDescription,TotalRevenue,TotalQuantity,InvoiceCount,RevenueRank,QuantityRank,InvoiceRank
21656,RIDGED GLASS POSY VASE ,444.58,219,47,2292.0,2281.0,2208.0
21657,MILK BOTTLE WITH GLASS STOPPER ,223.46,30,17,2673.0,3156.5,2907.5
21658,GLASS  BEURRE DISH,3709.78,878,212,664.0,1344.0,761.0
21661,VINTAGE GLASS TEA CADDY,17.85,3,3,3590.5,3743.0,3589.0
21662,VINTAGE GLASS COFFEE CADDY,557.3000000000001,86,26,2129.0,2749.0,2655.5
21664,RIDGED GLASS STORAGE JAR CREAM LID,350.22,98,18,2432.0,2689.5,2879.5
21666,RIDGED GLASS T-LIGHT HOLDER,283.51,412,43,2544.0,1893.0,2283.5
21667,GLASS CAKE COVER AND PLATE,29.9,2,1,3463.0,3800.5,3837.0
21668,RED STRIPE CERAMIC DRAWER KNOB,7481.16,5494,437,323.0,221.0,248.0
21669,BLUE STRIPE CERAMIC DRAWER KNOB,7091.15,5252,425,341.0,234.0,263.0
21670,BLUE SPOT CERAMIC DRAWER KNOB,6083.99,4328,374,416.0,304.0,331.0
21671,RED SPOT CERAMIC DRAWER KNOB,6054.79,4402,369,417.0,296.0,339.5
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6776.0,4992,409,374.0,254.0,283.0
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,6041.2,4372,365,420.0,300.0,348.5
21675,BUTTERFLIES STICKERS,568.26,628,110,2113.0,1597.0,1421.5
21676,FLOWERS  STICKERS,245.35999999999999,257,61,2626.0,2188.0,2010.5
21677,HEARTS  STICKERS,737.8399999999999,835,119,1887.0,1387.0,1345.0
21678,PAISLEY PATTERN  STICKERS,111.86,125,32,2995.0,2588.5,2512.5
21679,SKULLS  STICKERS,1028.58,1140,138,1605.0,1146.0,1176.0
21680,WOODLAND  STICKERS,786.31,868,103,1820.0,1354.5,1490.5
21681,GIANT MEDINA STAMPED METAL BOWL ,19.9,2,2,3575.0,3800.5,3698.0
21682,LARGE MEDINA STAMPED METAL BOWL ,930.96,182,55,1689.0,2392.0,2084.5
21683,MEDIUM MEDINA STAMPED METAL BOWL ,948.7000000000002,310,58,1678.0,2073.5,2045.0
21684,SMALL MEDINA STAMPED METAL BOWL ,612.1,771,47,2050.0,1457.0,2208.0
21686,MEDINA STAMPED METAL STOOL,1351.64,35,20,1389.0,3104.0,2817.0
21688,SILVER PLATE CANDLE BOWL SMALL,1101.2800000000002,348,57,1554.0,1994.5,2059.0
21689,SILVER VANILLA  FLOWER CANDLE POT,369.87,95,26,2401.0,2706.5,2655.5
21690,SILVER  CANDLEPOT JARDIN ,82.5,22,7,3109.0,3265.5,3323.5
21692,SILVER LATTICE VANILLA CANDLE POT,63.75,17,7,3210.5,3344.0,3323.5
21693,SMALL HAMMERED SILVER CANDLEPOT ,1107.91,361,50,1545.0,1973.0,2154.5
21694,SMALL REGAL  SILVER CANDLEPOT ,840.33,307,24,1772.0,2078.5,2715.5
21695,SMALL SILVER FLOWER CANDLE POT,857.6800000000001,284,41,1758.0,2132.0,2326.0
21696,SMALL SILVER TRELLIS CANDLEPOT,672.4000000000001,224,33,1970.0,2268.5,2486.0
21698,MOCK LOBSTER FRIDGE MAGNET,164.17,296,45,2818.0,2105.0,2243.5
21700,BIG DOUGHNUT FRIDGE MAGNETS,2334.94,1726,198,948.0,836.0,824.5
21703,BAG 125g SWIRLY MARBLES,3528.89,9390,294,696.0,96.0,482.5
21704,BAG 250g SWIRLY MARBLES,4039.2799999999997,5144,248,614.0,243.0,610.5
21705,BAG 500g SWIRLY MARBLES,1462.17,1459,141,1320.0,946.0,1156.5
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1616.81,346,120,1231.0,1998.0,1334.5
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,763.6600000000001,160,74,1850.0,2467.0,1836.5
21708,FOLDING UMBRELLA CREAM POLKADOT,863.11,190,64,1754.0,2369.0,1964.5
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,607.23,133,59,2057.0,2557.0,2031.5
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,501.98,107,45,2208.0,2646.0,2243.5
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,513.02,104,36,2191.0,2663.5,2417.5
21713,CITRONELLA CANDLE FLOWERPOT,1817.74,786,157,1140.0,1444.5,1039.0
21714,CITRONELLA CANDLE GARDEN POT,3010.65,1651,225,786.0,864.0,694.5
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,3507.17,1330,231,702.0,1020.5,673.0
21716,BOYS VINTAGE TIN SEASIDE BUCKET,3872.92,1425,244,640.0,962.0,626.0
21717,EASTER TIN BUCKET,946.9300000000001,408,41,1680.0,1902.5,2326.0
21718,RED METAL BEACH SPADE ,2113.39,1493,229,1022.0,931.0,679.5
21719,LOVELY BONBON STICKER SHEET,307.44,345,58,2510.0,2002.0,2045.0
21720,CAKE SHOP  STICKER SHEET,48.449999999999996,57,8,3317.5,2918.5,3262.0
21721,CANDY SHOP  STICKER SHEET,179.45999999999998,195,33,2777.0,2350.0,2486.0
21722,SWEET PUDDING STICKER SHEET,95.52999999999999,98,36,3059.0,2689.5,2417.5
21723,ALPHABET HEARTS STICKER SHEET,350.08,397,59,2433.0,1924.5,2031.5
21724,PANDA AND BUNNIES STICKER SHEET,355.83,408,81,2424.0,1902.5,1738.0
21725,SWEETIES  STICKERS,277.24,301,50,2554.0,2093.5,2154.5
21726,MULTI HEARTS  STICKERS,204.69,237,42,2709.0,2238.0,2303.5
21730,GLASS STAR FROSTED T-LIGHT HOLDER,2514.43,517,131,901.0,1736.5,1244.0
21731,RED TOADSTOOL LED NIGHT LIGHT,23919.78,14001,849,58.0,37.0,61.0
21733,RED HANGING HEART T-LIGHT HOLDER,23199.24,7872,741,63.0,135.0,81.0
21735,TWO DOOR CURIO CABINET,2577.45,212,83,889.0,2304.5,1712.0
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,137.22,80,5,2910.0,2775.5,3437.0
21738,COSY SLIPPER SHOES SMALL  RED ,144.58,46,21,2882.0,3000.0,2788.0
21739,COSY SLIPPER SHOES SMALL GREEN,703.08,254,111,1932.0,2193.0,1409.0
21741,COSY SLIPPER SHOES LARGE GREEN,480.1700000000001,147,40,2243.0,2509.5,2345.0
21742,LARGE ROUND WICKER PLATTER ,1167.58,194,91,1487.0,2353.5,1618.0
21743,STAR PORTABLE TABLE LIGHT ,887.6500000000001,299,49,1736.0,2098.0,2173.0
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,1557.65,529,127,1269.0,1718.5,1277.5
21745,GAOLERS KEYS DECORATIVE GARDEN ,3475.73,935,214,705.0,1299.0,746.5
21746,SMALL RED RETROSPOT WINDMILL,3766.93,3075,226,657.0,453.0,688.5
21747,SMALL SKULL WINDMILL,645.61,485,54,2000.0,1778.0,2095.5
21749,LARGE RED RETROSPOT WINDMILL,3877.09,1963,140,638.0,729.5,1162.0
21750,LARGE SKULL WINDMILL,207.51000000000002,90,24,2705.0,2732.5,2715.5
21754,HOME BUILDING BLOCK WORD,16923.47,2759,777,116.0,507.5,74.0
21755,LOVE BUILDING BLOCK WORD,12435.86,2011,629,170.0,710.0,115.0
21756,BATH BUILDING BLOCK WORD,5006.26,809,270,507.0,1419.5,544.5
21757,LIGHTHOUSE PRINTED METAL SIGN,29.700000000000003,6,3,3469.0,3613.0,3589.0
21758,VINTAGE SHELLS PRINT,427.46000000000004,50,32,2316.0,2977.0,2512.5
21761,WOOD AND GLASS MEDICINE CABINET,299.5,10,10,2521.0,3502.5,3156.5
21763,VINTAGE WOODEN BAR STOOL,169.75,6,4,2802.0,3613.0,3506.0
21769,VINTAGE POST OFFICE CABINET,607.6500000000001,11,2,2056.0,3477.0,3698.0
21770,OPEN CLOSED METAL SIGN,7923.93,1638,388,299.0,871.5,309.0
21773,DECORATIVE ROSE BATHROOM BOTTLE,1154.17,1170,163,1503.0,1123.0,992.5
21774,DECORATIVE CATS BATHROOM BOTTLE,1152.4,1095,186,1505.0,1172.0,878.0
21775,DECORATIVE FLORE BATHROOM BOTTLE,716.86,515,139,1916.5,1740.0,1168.0
21777,RECIPE BOX WITH METAL HEART,95.4,12,6,3061.0,3452.0,3376.5
21781,MA CAMPAGNE CUTLERY BOX,2661.7999999999997,168,101,870.0,2441.0,1515.0
21784,SHOE SHINE BOX ,633.0699999999999,57,44,2015.0,2918.5,2264.0
21785,RAIN PONCHO ,268.76,411,5,2576.0,1895.5,3437.0
21786,POLKADOT RAIN HAT ,916.99,1937,226,1702.0,741.5,688.5
21787,RAIN PONCHO RETROSPOT,7161.099999999999,8875,243,336.0,104.0,628.0
21788,KIDS RAIN MAC BLUE,1029.24,1293,85,1604.0,1039.0,1689.0
21789,KIDS RAIN MAC PINK,803.65,925,92,1803.0,1307.5,1611.0
21790,VINTAGE SNAP CARDS,12510.01,14521,926,168.0,35.0,44.0
21791,VINTAGE HEADS AND TAILS CARD GAME ,10504.4,7864,607,211.0,136.0,127.0
21792,CLASSIC FRENCH STYLE BASKET GREEN ,1497.72,344,76,1302.0,2004.5,1809.0
21793,CLASSIC FRENCH STYLE BASKET BROWN,1296.6100000000001,304,74,1420.0,2086.5,1836.5
21794,CLASSIC FRENCH STYLE BASKET NATURAL,2213.42,522,106,980.0,1732.0,1452.5
21801,CHRISTMAS TREE DECORATION WITH BELL,530.26,1251,125,2170.0,1067.5,1294.0
21802,CHRISTMAS TREE HEART DECORATION,919.14,2122,180,1700.0,670.0,903.5
21803,CHRISTMAS TREE STAR DECORATION,1016.02,2353,198,1621.0,609.0,824.5
21804,WHITE CHRISTMAS GARLAND STARS TREES,830.03,225,65,1783.0,2263.0,1952.5
21807,WHITE CHRISTMAS STAR DECORATION,189.0,438,30,2751.0,1853.5,2556.0
21808,"CHRISTMAS GARLAND STARS,TREES",637.83,180,48,2009.0,2398.5,2190.0
21809,CHRISTMAS HANGING TREE WITH BELL,1117.92,1964,117,1533.0,728.0,1355.5
21810,CHRISTMAS HANGING STAR WITH BELL,2981.8399999999997,5840,252,792.0,211.0,599.0
21811,HANGING HEART WITH BELL,2682.4,4850,245,862.0,265.0,622.0
21812,GARLAND WITH HEARTS AND BELLS,1746.27,393,100,1165.0,1928.5,1529.0
21813,GARLAND WITH STARS AND BELLS,2280.4700000000003,549,112,961.0,1696.5,1396.5
21814,HEART T-LIGHT HOLDER ,111.77,74,15,2996.0,2819.5,2970.0
21815,STAR  T-LIGHT HOLDER ,270.22999999999996,158,29,2571.0,2479.0,2577.0
21816,CHRISTMAS TREE T-LIGHT HOLDER,47.849999999999994,33,7,3325.0,3124.0,3323.5
21817,GLITTER CHRISTMAS TREE,410.90999999999997,906,58,2346.0,1322.0,2045.0
21818,GLITTER HEART DECORATION,1320.41,2737,163,1408.0,511.5,992.5
21819,GLITTER CHRISTMAS STAR ,1066.6499999999999,2470,124,1575.0,570.0,1304.5
21820,GLITTER HEART GARLAND WITH BELLS ,1368.47,329,90,1376.0,2033.0,1628.5
21821,GLITTER STAR GARLAND WITH BELLS ,1037.05,251,62,1599.0,2203.5,1993.0
21822,GLITTER CHRISTMAS TREE WITH BELLS,719.3,698,97,1911.0,1525.5,1570.5
21823,PAINTED METAL HEART WITH HOLLY BELL,854.35,1372,97,1761.0,990.0,1570.5
21824,PAINTED METAL STAR WITH HOLLY BELLS,1102.4199999999998,1916,117,1553.0,752.0,1355.5
21826,EIGHT PIECE DINOSAUR SET,185.18,125,35,2761.0,2588.5,2439.0
21827,EIGHT PIECE CREEPY CRAWLIE SET,7.5,6,3,3769.5,3613.0,3589.0
21828,EIGHT PIECE SNAKE  SET,435.79,330,84,2304.0,2030.5,1699.0
21829,DINOSAUR KEYRINGS ASSORTED,1460.74,6765,177,1322.0,163.0,917.0
21830,ASSORTED CREEPY CRAWLIES,1107.07,2621,99,1546.0,537.0,1543.0
21832,CHOCOLATE CALCULATOR,1790.1,954,198,1147.0,1274.5,824.5
21833,CAMOUFLAGE LED TORCH,4594.43,2726,168,554.0,514.0,961.5
21836,GINGHAM OVEN GLOVE RED HEART ,26.490000000000002,5,3,3503.0,3653.0,3589.0
21839,MUMMY MOUSE RED GINGHAM RIBBON,5.45,1,1,3808.5,3874.5,3837.0
21841,BABY MOUSE RED GINGHAM DRESS,310.25,73,21,2506.0,2825.0,2788.0
21843,RED RETROSPOT CAKE STAND,21354.3,2012,539,84.0,709.0,157.0
21844,RED RETROSPOT MUG,5167.6900000000005,1847,156,482.0,786.0,1044.0
21845,DAIRY MAID STRIPE MUG,1720.3000000000002,1906,82,1179.0,756.0,1725.5
21846,PINK DIAMANTE PEN IN GIFT BOX,1206.97,424,103,1466.0,1870.5,1490.5
21847,GREEN  DIAMANTE PEN IN GIFT BOX,178.89,76,33,2781.0,2808.0,2486.0
21849,SILVER DIAMANTE PEN IN GIFT BOX,548.9300000000001,173,66,2146.0,2418.5,1938.5
21850,BLUE  DIAMANTE PEN IN GIFT BOX,488.13,129,54,2230.0,2574.0,2095.5
21851,LILAC DIAMANTE PEN IN GIFT BOX,454.99,141,63,2270.0,2534.5,1975.0
21864,UNION JACK FLAG PASSPORT COVER ,2041.69,828,184,1047.0,1393.0,892.0
21865,PINK UNION JACK  PASSPORT COVER ,618.9300000000001,271,106,2042.0,2155.0,1452.5
21866,UNION JACK FLAG LUGGAGE TAG,1292.3799999999999,747,193,1424.0,1468.5,850.5
21867,PINK UNION JACK  LUGGAGE TAG,480.25,348,121,2242.0,1994.5,1324.5
21868,POTTING SHED TEA MUG,3259.75,2477,302,746.0,567.0,465.0
21870,I CAN ONLY PLEASE ONE PERSON MUG,1851.46,1407,163,1127.0,971.0,992.5
21871,SAVE THE PLANET MUG,6679.56,5453,357,380.0,225.0,363.5
21872,GLAMOROUS  MUG,1454.98,1292,142,1324.0,1040.0,1149.5
21873,IF YOU CAN'T STAND THE HEAT MUG,1834.3,1618,116,1134.0,881.5,1362.0
21874,GIN AND TONIC MUG,4141.179999999999,2974,295,601.0,471.0,480.5
21875,KINGS CHOICE MUG,2429.38,2055,148,913.0,696.0,1098.0
21876,POTTERING MUG,4825.36,3789,333,526.0,358.0,409.0
21877,HOME SWEET HOME MUG,6932.78,5411,349,360.0,227.0,377.0
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2172.2,2523,224,995.0,555.0,700.0
21879,HEARTS GIFT TAPE,385.47,1176,94,2378.0,1114.0,1598.0
21880,RED RETROSPOT TAPE,858.7800000000001,1903,240,1757.0,758.0,638.5
21881,CUTE CATS TAPE,383.11,1102,79,2380.0,1168.0,1763.5
21882,SKULLS TAPE,251.17000000000002,704,70,2614.0,1519.5,1889.0
21883,STARS GIFT TAPE ,725.4200000000001,1653,133,1903.0,862.0,1223.5
21884,CAKES AND BOWS GIFT  TAPE,413.76,1166,93,2338.0,1126.5,1606.0
21888,BINGO SET,6659.54,1688,378,385.0,853.0,322.5
21889,WOODEN BOX OF DOMINOES,8847.29,6390,587,269.0,180.0,134.0
21890,S/6 WOODEN SKITTLES IN COTTON BAG,3674.11,1147,231,671.0,1141.0,673.0
21891,TRADITIONAL WOODEN SKIPPING ROPE,10504.85,8130,425,210.0,126.0,263.0
21892,TRADITIONAL WOODEN CATCH CUP GAME ,4317.16,3192,412,582.0,436.0,277.5
21894,POTTING SHED SEED ENVELOPES,902.08,592,130,1714.0,1634.0,1255.5
21895,POTTING SHED SOW 'N' GROW SET,12.72,2,2,3679.5,3800.5,3698.0
21896,POTTING SHED TWINE,2272.79,980,110,963.0,1246.0,1421.5
21897,POTTING SHED CANDLE CITRONELLA,1268.1899999999998,405,3,1437.0,1909.0,3589.0
21898,POTTING SHED ROSE CANDLE,1541.1100000000001,493,25,1278.0,1769.0,2686.0
21899,GARAGE KEY FOB,1757.97,2679,278,1162.0,525.0,521.0
21900,"KEY FOB , SHED",2197.17,3228,372,989.0,429.0,334.5
21901,"KEY FOB , BACK DOOR ",1277.89,1828,308,1430.0,796.0,454.0
21902,"KEY FOB , FRONT  DOOR ",1262.37,1962,210,1438.0,731.0,772.0
21903,MAN FLU METAL SIGN,2490.13,1160,180,908.0,1134.0,903.5
21904,HOUSE WRECKING METAL SIGN ,105.0,50,23,3021.0,2977.0,2736.5
21905,MORE BUTTER METAL SIGN ,821.61,760,160,1792.0,1464.0,1019.0
21906,PHARMACIE FIRST AID TIN,4470.8099999999995,581,173,569.0,1653.0,933.0
21907,I'M ON HOLIDAY METAL SIGN,5027.18,2371,367,502.0,602.0,344.0
21908,CHOCOLATE THIS WAY METAL SIGN,7752.22,3771,468,308.0,363.0,209.5
21910,WAY OUT METAL SIGN ,59.400000000000006,36,8,3240.0,3091.0,3262.0
21911,GARDEN METAL SIGN ,203.21,114,29,2713.0,2621.0,2577.0
21912,VINTAGE SNAKES & LADDERS,7047.7,1786,396,348.0,811.0,297.5
21913,VINTAGE SEASIDE JIGSAW PUZZLES,1565.83,398,148,1265.0,1922.5,1098.0
21914,BLUE HARMONICA IN BOX ,10339.81,7876,603,217.0,134.0,129.0
21915,RED  HARMONICA IN BOX ,26294.08,21903,661,44.0,16.0,106.5
21916,SET 12 RETRO WHITE CHALK STICKS,1973.49,4599,359,1082.0,282.0,358.5
21917,SET 12 KIDS  WHITE CHALK STICKS,1701.93,4151,225,1187.0,318.0,694.5
21918,SET 12 KIDS COLOUR  CHALK STICKS,2950.25,7199,369,797.0,149.0,339.5
21922,UNION STRIPE WITH FRINGE  HAMMOCK,6944.360000000001,898,208,357.0,1328.0,784.5
21925,UNION STRIPE CUSHION COVER ,503.75,403,65,2206.0,1914.5,1952.5
21926,RED/CREAM STRIPE CUSHION COVER ,509.9,414,60,2194.0,1888.5,2021.0
21927,BLUE/CREAM STRIPE CUSHION COVER ,771.15,623,99,1842.0,1602.0,1543.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,21144.41,10468,806,86.0,78.0,70.0
21929,JUMBO BAG PINK VINTAGE PAISLEY,23179.06,11006,865,64.0,69.0,57.0
21930,JUMBO STORAGE BAG SKULLS,14006.2,6438,705,143.0,177.0,91.0
21931,JUMBO STORAGE BAG SUKI,30764.010000000002,13651,1184,29.0,40.0,16.0
21932,SCANDINAVIAN PAISLEY PICNIC BAG,4995.38,2720,446,509.0,516.0,234.0
21933,PINK VINTAGE PAISLEY PICNIC BAG,4957.43,2672,410,511.0,526.0,281.0
21934,SKULL SHOULDER BAG,4480.28,2421,411,566.0,585.0,280.0
21935,SUKI  SHOULDER BAG,6298.61,3393,530,410.0,402.0,168.0
21936,RED RETROSPOT PICNIC BAG,11665.19,3985,531,185.0,337.0,167.0
21937,STRAWBERRY   PICNIC BAG,4898.85,1707,251,517.0,845.0,602.5
21942,SKULLS DESIGN FLANNEL,313.01,287,103,2502.0,2121.0,1490.5
21943,CAKES AND RABBITS DESIGN FLANNEL ,134.48999999999998,119,50,2917.0,2609.0,2154.5
21944,KITTENS DESIGN FLANNEL,310.19,337,100,2507.0,2015.0,1529.0
21945,STRAWBERRIES  DESIGN FLANNEL ,373.34,358,105,2399.0,1979.5,1465.5
21946,PARTY TIME DESIGN FLANNEL,75.35,86,25,3141.0,2749.0,2686.0
21947,SET OF 6 HEART CHOPSTICKS,1139.65,811,152,1514.0,1416.5,1073.5
21948,SET OF 6 CAKE CHOPSTICKS,978.23,640,153,1651.0,1585.0,1067.5
21949,SET OF 6 STRAWBERRY CHOPSTICKS,1054.44,801,144,1586.0,1427.0,1129.5
21955,DOORMAT UNION JACK GUNS AND ROSES,7580.82,1228,206,318.0,1083.0,791.0
21967,PACK OF 12 SKULL TISSUES,1582.1499999999999,5271,232,1255.0,232.0,669.5
21972,SET OF 36 DINOSAUR PAPER DOILIES,499.08,335,65,2216.0,2017.5,1952.5
21973,SET OF 36 MUSHROOM PAPER DOILIES,230.54999999999998,159,30,2658.0,2472.0,2556.0
21974,SET OF 36 PAISLEY FLOWER DOILIES,3545.6,2219,360,694.0,640.5,357.0
21975,PACK OF 60 DINOSAUR CAKE CASES,6102.51,12312,601,413.0,56.0,130.0
21976,PACK OF 60 MUSHROOM CAKE CASES,2869.9,5199,393,814.0,238.0,302.5
21977,PACK OF 60 PINK PAISLEY CAKE CASES,12226.32,24820,869,175.0,12.0,56.0
21980,PACK OF 12 RED RETROSPOT TISSUES ,2121.18,6685,297,1019.0,168.0,476.0
21981,PACK OF 12 WOODLAND TISSUES ,1651.3,5468,271,1211.0,223.0,542.0
21982,PACK OF 12 SUKI TISSUES ,2215.61,7173,359,979.0,150.0,358.5
21983,PACK OF 12 BLUE PAISLEY TISSUES ,777.67,2301,155,1830.0,622.0,1052.5
21984,PACK OF 12 PINK PAISLEY TISSUES ,1112.6,3458,212,1539.0,392.0,761.0
21985,PACK OF 12 HEARTS DESIGN TISSUES ,2729.5099999999998,8775,427,846.0,106.0,261.0
21986,PACK OF 12 PINK POLKADOT TISSUES,1197.73,4067,189,1475.0,328.0,864.5
21987,PACK OF 6 SKULL PAPER CUPS,1346.65,2113,171,1394.0,673.5,947.5
21988,PACK OF 6 SKULL PAPER PLATES,1862.75,2321,193,1124.0,621.0,850.5
21989,PACK OF 20 SKULL PAPER NAPKINS,2233.1,2409,335,974.0,589.0,402.0
21990,MODERN FLORAL STATIONERY SET,2870.0,1672,366,813.0,858.0,345.0
21991,BOHEMIAN COLLAGE STATIONERY SET,1080.82,635,211,1564.0,1591.0,767.0
21992,VINTAGE PAISLEY STATIONERY SET,3510.72,1901,436,699.0,759.0,251.0
21993,FLORAL FOLK STATIONERY SET,3355.84,1937,425,733.0,741.5,263.0
22016,Dotcomgiftshop Gift Voucher £100.00,83.33,1,1,3104.0,3874.5,3837.0
22021,BLUE FELT EASTER EGG BASKET,610.45,365,71,2052.0,1963.5,1876.0
22023,EMPIRE BIRTHDAY CARD,538.72,1206,146,2158.0,1096.5,1114.0
22024,RAINY LADIES BIRTHDAY CARD,1023.73,2406,213,1610.0,591.0,754.0
22025,RING OF ROSES BIRTHDAY CARD,761.0500000000001,1835,130,1855.0,791.5,1255.5
22026,BANQUET BIRTHDAY  CARD  ,712.08,1644,160,1920.0,866.0,1019.0
22027,TEA PARTY BIRTHDAY CARD,1873.71,4368,362,1117.0,301.0,354.5
22028,PENNY FARTHING BIRTHDAY CARD,1304.14,3042,262,1417.0,460.0,565.5
22029,SPACEBOY BIRTHDAY CARD,3387.57,8161,527,729.0,124.0,169.5
22030,SWALLOWS GREETING CARD,2237.89,5527,274,971.0,220.0,534.0
22031,BOTANICAL LAVENDER BIRTHDAY CARD,225.59,504,80,2667.0,1753.5,1749.5
22032,BOTANICAL LILY GREETING CARD,181.98,427,60,2769.0,1868.5,2021.0
22033,BOTANICAL ROSE GREETING CARD,141.95,337,22,2890.0,2015.0,2761.5
22034,ROBIN CHRISTMAS CARD,5.02,10,4,3815.0,3502.5,3506.0
22035,VINTAGE CARAVAN GREETING CARD ,617.32,1452,137,2044.0,950.0,1185.0
22037,ROBOT BIRTHDAY CARD,1695.32,3929,354,1189.0,343.0,370.0
22038,BOTANICAL LAVENDER GIFT WRAP ,199.5,475,19,2721.5,1794.0,2848.5
22039,BOTANICAL LILY GIFT WRAP,105.0,250,7,3021.0,2207.5,3323.5
22040,BOTANICAL ROSE GIFT WRAP,304.5,725,28,2513.5,1492.0,2601.0
22041,"RECORD FRAME 7"" SINGLE SIZE ",11354.56,4374,361,193.0,299.0,356.0
22042,CHRISTMAS CARD SINGING ANGEL,168.33,399,39,2804.0,1920.0,2362.0
22043,CHRISTMAS CARD SCREEN PRINT ,304.5,1238,64,2513.5,1077.0,1964.5
22044,CHRISTMAS CARD STACK OF PRESENTS,196.44,816,36,2729.0,1408.5,2417.5
22045,SPACEBOY GIFT WRAP,2673.34,6527,208,866.0,176.0,784.5
22046,TEA PARTY  WRAPPING PAPER ,929.0,2250,75,1692.0,634.0,1824.5
22047,EMPIRE GIFT WRAP,1373.5,3375,106,1375.0,406.5,1452.5
22048,BIRTHDAY BANQUET GIFT WRAP,393.5,975,32,2366.0,1255.0,2512.5
22049,WRAP CHRISTMAS SCREEN PRINT,291.5,1050,33,2530.0,1199.0,2486.0
22050,PINK PAISLEY ROSE GIFT WRAP,498.5,1225,40,2218.0,1086.0,2345.0
22051,BLUE SCANDINAVIAN PAISLEY WRAP,409.5,975,39,2350.0,1255.0,2362.0
22052,VINTAGE CARAVAN GIFT WRAP,273.0,650,27,2562.0,1568.5,2630.0
22053,EMPIRE DESIGN ROSETTE,3606.42,4244,28,682.0,309.0,2601.0
22055,MINI CAKE STAND  HANGING STRAWBERY,2083.19,1375,220,1035.0,988.0,721.0
22057,CERAMIC PLATE STRAWBERRY DESIGN,667.92,584,61,1978.0,1644.0,2010.5
22059,CERAMIC STRAWBERRY DESIGN MUG,2081.54,1780,173,1036.0,814.0,933.0
22060,LARGE CAKE STAND HANGING HEARTS,1111.05,231,34,1541.0,2248.5,2460.5
22061,LARGE CAKE STAND  HANGING STRAWBERY,4218.0599999999995,582,146,590.0,1649.5,1114.0
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,677.86,583,73,1961.0,1646.0,1851.5
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,1367.45,583,120,1379.0,1646.0,1334.5
22064,PINK DOUGHNUT TRINKET POT ,2546.3,1728,241,896.0,834.0,633.0
22065,CHRISTMAS PUDDING TRINKET POT ,3462.25,6729,241,707.0,166.0,633.0
22066,LOVE HEART TRINKET POT,1044.81,2239,135,1592.0,636.0,1204.0
22067,CHOC TRUFFLE GOLD TRINKET POT ,638.62,408,70,2008.0,1902.5,1889.0
22068,BLACK PIRATE TREASURE CHEST,856.39,526,143,1759.0,1723.5,1139.0
22069,BROWN  PIRATE TREASURE CHEST ,993.5,414,146,1640.0,1888.5,1114.0
22070,SMALL RED RETROSPOT MUG IN BOX ,2354.4,948,116,945.0,1280.0,1362.0
22071,SMALL WHITE RETROSPOT MUG IN BOX ,1384.3,729,86,1368.0,1487.5,1678.0
22072,RED RETROSPOT TEA CUP AND SAUCER ,2811.17,848,162,827.0,1372.0,1004.5
22073,RED RETROSPOT STORAGE JAR,1336.14,334,69,1398.0,2020.5,1903.0
22074,6 RIBBONS SHIMMERING PINKS ,1239.67,1402,199,1446.0,973.0,816.0
22075,6 RIBBONS ELEGANT CHRISTMAS ,2489.03,1773,200,909.0,816.0,810.0
22076,6 RIBBONS EMPIRE  ,1667.88,1259,225,1204.0,1061.5,694.5
22077,6 RIBBONS RUSTIC CHARM,17186.62,9172,955,111.0,97.0,41.0
22078,RIBBON REEL LACE DESIGN ,2923.21,1369,192,803.0,993.0,855.0
22079,RIBBON REEL HEARTS DESIGN ,3325.29,1897,323,739.0,761.0,427.0
22080,RIBBON REEL POLKADOTS ,2003.48,1206,155,1066.0,1096.5,1052.5
22081,RIBBON REEL FLORA + FAUNA ,1176.5,644,138,1481.0,1578.0,1176.0
22082,RIBBON REEL STRIPES DESIGN ,4661.88,2680,409,547.0,524.0,283.0
22083,PAPER CHAIN KIT RETROSPOT,14051.640000000001,4616,610,142.0,281.0,123.5
22084,PAPER CHAIN KIT EMPIRE,15099.37,5181,436,131.0,240.0,251.0
22085,PAPER CHAIN KIT SKULLS ,1566.99,548,97,1264.0,1699.0,1570.5
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,64875.590000000004,19329,1160,8.0,20.0,19.0
22087,PAPER BUNTING WHITE LACE,11872.58,4082,326,181.0,324.0,420.5
22088,PAPER BUNTING COLOURED LACE,5661.05,1893,238,450.0,762.0,647.5
22089,PAPER BUNTING VINTAGE PAISLEY,4457.43,1423,272,572.0,964.0,539.0
22090,PAPER BUNTING RETROSPOT,22785.06,7562,798,69.0,140.0,71.0
