InvoiceNo,InvoiceRevenue,InvoiceQuantity,ProductLines
543252,361.7,126,12
543253,310.0,5,2
543255,303.33,115,13
543256,123.21,95,11
543263,12.7,3,3
543264,255.03,186,24
543272,136.65,61,16
543273,449.09000000000003,246,45
543274,145.5,99,13
543275,142.4,37,24
543276,974.62,430,12
543277,735.9,237,57
543278,203.82,406,11
543279,319.4,359,38
543280,131.9,82,9
543281,92.32000000000001,45,29
543282,108.07,34,19
543283,83.35,29,5
543284,137.65,71,8
543285,393.33000000000004,125,25
543286,972.72,444,18
543287,620.37,319,6
543288,182.85,99,11
543291,143.92000000000002,16,7
543292,295.45,166,26
543293,586.8,332,41
543294,127.35000000000001,15,7
543300,1637.19,829,129
543306,336.78,219,99
543309,240.84,102,54
543325,110.7,66,7
543332,205.1,110,11
543342,424.41,294,29
543345,1229.32,267,130
543348,290.0,2,1
543349,219.99,89,26
543350,155.05,29,12
543351,165.0,132,11
543352,29.65,7,4
543354,818.86,522,39
543355,208.76,115,38
543357,124.05000000000001,37,6
543358,1294.78,292,143
543359,122.3,40,11
543367,438.82,269,22
543369,219.36,92,29
543370,1838.9099999999999,465,80
543371,409.93,288,85
543372,67.95,21,2
543373,181.44,104,10
543374,319.35,163,17
543376,67.95,21,2
543377,220.98000000000002,192,15
543378,4379.76,1008,2
543379,6155.72,1420,4
543380,143.1,90,7
543382,307.23,225,39
543383,7.95,1,1
543385,7.95,1,1
543387,1306.28,1126,14
543389,150.26000000000002,57,19
543391,306.55,131,16
543392,602.72,416,9
543393,163.7,86,10
543394,1495.2,528,5
543395,15.9,2,1
543396,313.66,242,3
543397,141.92,102,23
543398,199.8,128,10
543399,1211.45,261,144
543400,213.15,148,15
543411,266.85,199,19
543413,244.79999999999998,96,3
543428,449.98,224,40
543446,146.2,40,8
543447,802.65,440,48
543448,2347.39,551,104
543449,336.0,160,7
543450,463.65999999999997,94,39
543451,605.97,87,49
543452,303.00000000000006,80,9
543454,140.55,24,15
543455,326.4,384,2
543456,79.2,144,1
543457,603.44,340,9
543458,152.87,79,33
543459,201.86,216,14
543460,10.2,12,1
543461,498.96,68,45
543462,313.90000000000003,130,13
543463,694.27,518,33
543464,364.32,308,10
543466,459.36,228,20
543467,1644.26,363,199
543468,262.85,87,28
543470,1053.79,1066,70
543474,495.83,191,51
543476,303.24,205,17
543477,15.0,12,1
543478,849.04,392,7
543479,90.0,24,1
543480,52.35,11,3
543481,103.1,68,19
543482,133.35,32,8
543483,78.62,36,5
543484,455.02,301,27
543485,118.95,27,8
543486,510.07,185,27
543487,197.0,84,11
543492,168.9,160,13
543507,371.6,172,25
543518,5735.24,2962,48
543519,691.36,372,20
543520,29.700000000000003,6,1
543523,38.1,30,3
543527,314.09999999999997,116,11
543529,178.15,35,9
543530,1275.78,266,138
543532,937.55,126,69
543533,1001.27,155,66
543534,309.06,266,13
543535,620.75,369,60
543536,48.22,31,11
543537,84.3,11,5
543538,401.5,158,25
543539,148.4,61,11
543540,141.36,92,8
543541,762.11,287,40
543542,231.91,256,14
543543,205.48,113,37
543544,49.08,41,13
543546,1459.9,401,141
543547,119.15,45,17
543548,330.79,189,20
543549,1045.44,4752,5
543550,113.10000000000001,51,6
543553,209.25,295,14
543554,493.5,168,12
543555,1592.61,616,68
543565,470.36,130,17
543586,198.8,112,13
543587,238.85,177,16
543588,1127.52,780,5
543589,191.0,200,2
543590,216.57999999999998,144,19
543591,310.5,64,5
543592,263.8,106,14
543593,597.3,186,7
543594,852.9200000000001,496,19
543595,320.52,217,3
543596,168.35,59,9
543597,801.6,274,34
543598,464.82,212,18
543600,184.45,93,26
543601,62.6,14,4
543602,116.85,34,14
543604,264.03,147,18
543610,302.7,199,21
543612,384.6,68,2
543618,160.15,53,8
543619,520.5699999999999,370,30
543622,10.5,25,1
543623,160.4,184,2
543625,321.56,454,13
543626,343.92,124,19
543629,697.9499999999999,109,60
543630,120.03,70,10
543631,498.1,340,81
543639,93.84,58,17
543641,186.34,90,14
543642,85.86,50,19
543645,107.65,46,19
543646,116.80000000000001,54,11
543647,106.8,66,17
543648,259.05,179,17
543649,610.2,84,2
543650,790.8,56,2
543651,335.3,272,19
543652,479.48,405,34
543653,352.46,187,63
543657,333.2,106,10
543658,425.05,339,12
543660,1239.43,307,166
543664,136.3,88,10
543668,133.0,24,16
543669,2256.0,2400,1
543670,468.0,144,2
543672,306.0,72,1
543673,554.4,80,2
543674,1252.2,316,3
543675,382.5,150,1
543688,330.8,50,2
543691,223.2,48,1
543693,128.8,64,2
543713,2053.0,490,105
543730,112.5,90,4
543731,594.4,419,14
543732,951.01,136,59
543733,231.51,262,14
543734,494.51000000000005,373,23
543735,514.56,228,10
543736,610.5500000000001,264,30
543737,2355.9500000000003,639,52
543738,76.32000000000001,72,1
543739,137.9,96,12
543740,350.82,278,23
543746,324.25,85,11
543747,124.26,38,3
543748,313.8,112,7
543751,11.2,2,2
543753,7.5,6,1
543754,530.15,139,23
543759,377.48,252,12
543762,6.550000000000001,3,3
543770,340.65,302,24
543774,1078.9,730,20
543777,252.29,130,43
543788,2.42,2,2
543796,4.95,1,1
543797,278.65,56,9
543798,178.75,86,16
543799,119.76,40,5
543800,723.9,606,79
543801,210.7,52,9
543802,522.15,154,70
543803,299.72,183,61
543804,393.5,205,25
543805,130.15,68,18
543806,233.96,114,31
543807,121.25,61,12
543808,132.25,77,29
543809,230.81,91,18
543810,140.35,53,23
543812,248.71,145,63
543813,76.75,15,7
543814,964.2,376,24
543815,108.25999999999999,73,37
543816,95.47999999999999,52,21
543820,436.18,216,38
543821,928.05,483,53
543822,446.16,219,13
543823,540.0,192,4
543824,309.5,160,12
543825,421.8,68,7
543826,1434.66,325,182
543828,2024.57,939,76
543829,3376.08,1536,15
543831,3257.4,1948,10
543832,416.11,267,24
543833,160.2,47,8
543836,321.05,269,15
543839,103.7,30,3
543842,1119.36,1056,1
543852,1165.96,724,9
543899,1066.14,539,37
543900,642.29,412,30
543901,115.0,28,6
543907,102.62,59,18
543908,405.30000000000007,114,3
543909,1101.82,337,156
543910,317.12,222,23
543911,889.24,496,30
543912,379.74,178,5
543913,151.68,61,20
543914,109.5,46,9
543915,298.05,375,21
543916,47.75,25,7
543919,197.82,190,11
543920,8.5,1,1
543921,223.74,122,15
543922,10.65,1,1
543923,187.50000000000003,66,8
543924,101.45,27,21
543934,102.9,64,8
543935,901.6,136,7
543973,282.7,177,43
543975,316.89,127,42
543976,1380.4,664,4
543977,710.31,305,25
543978,424.15999999999997,475,61
543979,169.44,57,39
543981,367.76,263,26
543982,281.8,111,12
543983,347.15,93,11
543984,549.04,432,29
543985,873.79,213,122
543986,3.75,3,1
543987,383.59999999999997,147,9
543988,17.700000000000003,6,1
543989,14022.92,8384,69
543990,397.04,236,24
543991,615.0,1700,3
543993,305.46,178,18
543994,1696.4,1280,4
543995,793.5,442,12
543996,458.53000000000003,181,26
543997,160.15,199,36
543998,264.6,228,4
544035,821.1,190,21
544036,188.7,18,2
544037,920.33,531,51
544039,211.0,31,3
544040,254.17000000000002,92,49
544041,375.56,180,17
544042,91.2,29,15
544043,12.75,1,1
544044,181.8,44,14
544045,1023.8400000000001,336,8
544051,433.0,266,27
544055,301.6,168,11
544056,287.74,202,19
544058,230.15,76,16
544059,120.16,52,18
544060,156.0,61,15
544061,66.0,24,2
544062,784.74,430,27
544064,127.95,22,19
544065,262.44,104,17
544066,181.5,90,5
544067,269.59,143,20
544068,65.01,52,25
544069,255.60000000000002,98,11
544070,570.02,242,28
544071,570.76,382,30
544073,1784.71,935,10
544074,841.26,458,109
544075,3506.2400000000002,1932,23
544076,75.0,60,2
544077,235.44,173,33
544078,122.4,48,1
544079,165.0,100,1
544081,856.0,264,13
544082,2.09,3,2
544083,303.57,125,10
544084,89.2,40,5
544085,5.45,1,1
544087,344.69,200,70
544088,14.2,2,2
544089,1195.56,368,145
544090,210.2,112,11
544091,175.5,122,10
544092,77.5,62,6
544093,363.36,144,7
544094,377.32,250,26
544095,363.70000000000005,64,13
544096,142.4,54,7
544097,1683.9,1522,41
544098,1129.35,396,32
544100,254.44,108,19
544101,142.85,109,10
544102,255.66,86,14
544103,20.38,15,11
544104,81.6,32,1
544105,424.85,210,24
544106,662.86,359,44
544107,173.05,91,12
544108,779.1,286,16
544109,112.45,90,10
544110,184.18,57,29
544111,891.35,275,22
544112,369.18,156,28
544115,919.66,777,48
544125,285.24,268,3
544129,434.6,135,6
544143,87.8,20,2
544147,10.82,12,3
544150,119.15,15,7
544151,189.37,74,13
544152,144.0,2400,1
544153,251.29000000000002,114,41
544154,390.0,600,1
544155,306.0,40,1
544156,296.5,98,15
544157,399.22,224,20
544158,132.60000000000002,64,6
544159,621.69,284,22
544160,826.53,675,50
544161,398.79,233,22
544162,178.66,138,22
544163,37.5,18,2
544164,601.94,762,6
544165,308.78000000000003,102,16
544166,337.5,50,4
544167,506.02,134,27
544168,314.4,144,2
544169,348.57,129,13
544170,76.32000000000001,72,1
544176,94.31,45,6
544177,1820.67,930,94
544178,388.05,105,6
544179,321.25,219,17
544180,233.42000000000002,280,8
544181,519.08,332,27
544182,328.4,112,15
544183,786.84,524,3
544185,149.46,141,1
544186,1449.8799999999999,388,184
544187,257.85,211,15
544189,133.0,36,8
544190,193.01,239,15
544191,772.8000000000001,367,30
544192,17.700000000000003,6,1
544193,640.1,279,37
544194,597.58,346,12
544195,152.7,146,6
544196,202.9,102,5
544197,105.5,26,3
544198,84.0,36,3
544199,244.68,144,6
544200,250.0,116,16
544201,680.82,95,69
544202,565.54,80,49
544203,479.1,229,27
544204,422.03,60,41
544205,746.49,102,65
544206,627.56,105,53
544207,634.67,98,49
544208,480.0,64,36
544209,235.79,61,12
544210,281.12,87,14
544211,331.2,166,18
544214,3055.62,718,112
544271,304.65999999999997,190,14
544277,114.05000000000001,135,7
544278,1019.42,910,65
544280,228.27,173,15
544281,373.98,303,5
544282,655.28,318,19
544283,1131.46,887,17
544286,1257.8700000000001,363,74
544292,296.15,316,27
544293,325.54,758,60
544294,570.88,368,36
544295,1097.58,1206,58
544296,55.44,196,2
544297,46.2,20,2
544298,790.86,646,21
544299,414.0,326,25
544301,147.33,76,24
544302,166.6,77,11
544303,161.95,57,41
544304,175.75,113,42
544305,205.5,48,13
544306,278.1,172,13
544307,161.28,384,16
544308,347.1,130,4
544309,928.58,557,29
544311,175.04,91,49
544312,8.25,3,2
544313,200.59,212,17
544314,277.81,175,14
544315,23.95,19,14
544316,640.14,362,43
544317,152.65,38,8
544319,110.98,128,17
544320,57.6,480,1
544322,145.2,156,5
544323,1429.07,332,171
544324,15.9,4,4
544325,2.95,1,1
544326,20.75,3,3
544328,100.5,34,4
544329,53.4,60,3
544330,147.2,122,22
544331,15.0,1,1
544332,333.0,238,14
544333,16.48,4,1
544334,118.8,24,1
544335,101.25,31,13
544336,139.78,106,28
544337,401.57,282,27
544338,311.55,149,17
544339,904.85,751,32
544340,152.4,108,5
544341,377.27000000000004,165,19
544349,398.22,146,14
544350,96.9,12,2
544351,825.0,500,4
544352,298.73,149,15
544353,359.79999999999995,60,5
544354,77.28,64,6
544355,968.3,753,53
544356,201.12,223,17
544368,617.48,490,57
544390,162.7,61,10
544391,314.68,198,19
544392,2807.31,1223,22
544393,214.04999999999998,151,32
544394,307.4,72,16
544395,301.85,103,7
544398,518.2,321,24
544399,256.0,111,13
544400,1092.43,1090,12
544404,177.9,122,5
544405,179.6,50,11
544406,397.29,282,59
544407,15.0,1,1
544408,58.9,105,8
544409,799.38,328,35
544411,341.7,186,16
544412,245.91,193,17
544418,5.58,6,3
544421,212.56,140,12
544423,6.3,15,1
544426,34.0,4,1
544430,5.1,2,1
544431,3.2,2,2
544434,1736.06,530,211
544438,0.85,1,1
544439,358.8,398,3
544440,645.56,80,4
544441,94.89999999999999,14,2
544443,136.0,16,1
544444,383.95,351,23
544445,553.3,197,56
544446,42.0,100,1
544447,109.12,62,16
544448,111.88,58,18
544449,138.83,77,24
544450,1242.95,491,103
544452,177.68,110,13
544453,149.55,51,19
544454,173.91,95,20
544455,587.01,287,50
544456,542.15,216,14
544457,333.6,160,12
544459,752.14,490,34
544460,302.37,218,67
544461,817.32,899,44
544462,530.79,257,66
544463,505.82,126,83
544464,141.69,119,32
544465,199.3,144,23
544466,113.85,97,24
544467,293.33,105,71
544468,910.78,422,43
544469,100.30000000000001,50,4
544470,603.42,256,33
544471,504.72,264,16
544472,355.40000000000003,117,14
544473,305.15999999999997,108,6
544474,192.31,194,15
544475,45.0,12,1
544476,328.88,240,69
544477,567.8399999999999,336,5
544478,399.6,216,1
544479,11956.1,8174,76
544480,6323.38,4034,43
544481,113.93,91,8
544482,659.28,616,7
544483,525.34,271,12
544484,1159.47,545,38
544485,146.8,76,20
544495,973.6500000000001,454,43
544556,185.4,120,12
544565,306.0,126,17
544568,773.66,548,48
544569,681.86,369,72
544571,834.22,914,63
544572,558.59,239,29
544573,892.95,520,22
544574,320.69,173,21
544578,320.69,1,1
544582,250.24,140,8
544585,143.4,78,8
544586,1100.25,477,117
544591,560.47,429,33
544592,171.04999999999998,26,10
544595,14.850000000000001,3,3
544596,211.0,110,13
544597,253.63,102,58
544598,981.51,264,141
544599,1579.58,418,233
544600,108.15,17,2
544601,528.27,376,32
544602,437.9,198,11
544603,634.1999999999999,96,4
544604,364.32,144,2
544605,79.2,144,1
544606,165.0,100,1
544607,253.75,169,15
544610,330.3,136,15
544611,30.240000000000002,72,3
544612,3202.92,3906,1
544633,131.8,116,5
544634,305.3,188,43
544636,35.400000000000006,12,1
544637,487.75,393,19
544638,325.42,252,12
544642,139.8,50,13
544643,395.1,186,15
544644,513.06,266,17
544645,1240.4,560,28
544646,373.74,105,28
544647,402.66,474,16
544648,324.05,112,11
544650,53.5,9,9
544651,1972.7,1740,23
544652,479.76,360,5
544654,113.44,82,8
544656,440.83,302,28
544657,2346.34,964,118
544658,425.91999999999996,128,11
544659,220.1,55,28
544660,590.03,299,36
544661,574.02,248,31
544662,65.09,21,21
544663,426.6,164,16
544664,664.45,438,43
544666,229.83,66,29
544667,3336.76,2874,34
544668,292.63,111,16
544670,181.13,64,27
544672,3211.7,2940,44
544673,825.04,495,64
544675,116.09,97,11
544676,141.48,116,41
544677,450.78,241,78
544678,252.87,295,44
544680,9.6,8,4
544681,1537.91,402,211
544684,1799.96,570,212
544685,666.89,594,52
544686,7.8,4,4
544687,212.52,134,20
544688,312.55,111,17
544689,432.9,54,2
544690,1480.2,668,15
544691,723.63,417,41
544692,622.88,711,40
544693,94.0,20,6
544694,411.02,202,24
544695,341.2,216,19
544697,185.0,76,8
544698,259.2,360,1
544699,172.79999999999998,240,1
544700,241.68,187,17
544701,618.89,262,19
544702,284.97,198,12
544717,649.02,394,31
544724,182.75,65,7
544749,151.55,37,16
544754,312.41,365,26
544766,542.09,81,53
544767,370.82,58,35
544768,490.6,66,39
544769,417.96,252,5
544770,464.91999999999996,59,47
544771,598.96,92,49
544772,559.72,73,47
544773,4.65,1,1
544774,220.53000000000003,107,13
544776,2695.09,628,117
544777,726.83,553,24
544778,450.81,143,67
544779,123.30000000000001,42,7
544788,354.56,553,36
544789,499.70000000000005,98,20
544790,757.68,549,83
544791,322.24,148,19
544792,1329.3600000000001,346,28
544793,218.88,1152,1
544794,385.46000000000004,84,4
544795,432.29,526,58
544796,497.59000000000003,243,40
544797,158.4,288,1
544798,187.65,73,11
544799,131.72,112,9
544800,299.95,97,17
544801,310.08000000000004,193,18
544802,376.74,276,18
544803,114.07,59,31
544804,346.28,176,9
544805,101.7,6,1
544806,317.73,169,16
544807,229.5,30,1
544808,171.85,60,23
544809,8.5,1,1
544810,635.41,203,18
544811,388.3,201,14
544812,1806.73,544,217
544813,104.95,43,13
544815,224.91,185,16
544816,485.03999999999996,192,6
544817,344.0,266,17
544818,95.76,96,4
544819,69.59,34,12
544820,9.95,1,1
544821,109.0,64,2
544822,291.0,180,10
544823,900.02,382,29
544824,2639.38,894,131
544825,305.7,78,9
544826,18.75,7,7
544833,769.24,388,32
544835,188.5,48,11
544836,310.71000000000004,175,15
544837,161.41,141,36
544838,145.92000000000002,80,9
544839,596.79,355,32
544846,169.32999999999998,133,19
544847,101.19,33,5
544885,339.4,100,20
544886,205.16,141,12
544887,504.56,339,67
544888,308.95,117,19
544892,77.95,16,9
544893,596.24,566,34
544894,553.76,362,36
544895,214.71,121,14
544896,25.5,2,1
544898,129.2,66,8
544899,190.93,97,14
544900,295.15,125,18
544903,405.03000000000003,139,23
544904,311.25,107,19
544905,116.2,68,9
544906,528.32,308,15
544907,462.95,165,23
544908,363.65,211,19
544909,1991.26,1814,38
544910,584.3199999999999,140,23
544911,392.12,93,14
544912,303.22,302,9
544913,127.86,86,28
544914,314.36,229,15
544915,179.04,90,5
544916,132.17000000000002,89,19
544917,296.25,152,9
544918,836.24,561,49
544919,147.3,98,10
544920,736.95,221,24
544921,400.8,208,11
544922,180.68,348,9
544923,79.2,16,1
544924,246.32000000000002,150,17
544925,234.0,120,4
544926,105.2,32,6
544927,0.85,1,1
544928,1336.1,332,160
544929,310.92,100,3
544930,189.56,141,51
544931,1340.32,560,52
544932,307.2,144,11
544933,1012.8199999999999,589,34
544934,389.5,141,20
544935,544.03,384,34
544936,1295.4,204,1
544937,351.56,212,20
544938,186.95,118,5
544939,141.79999999999998,98,6
544940,455.28,334,29
544941,169.94,120,11
544942,365.1,304,24
544943,929.22,358,27
544944,292.40000000000003,96,17
544945,847.38,508,48
544968,676.9200000000001,350,21
544969,299.8,109,18
544970,812.7,336,52
544996,287.58000000000004,124,13
544998,297.64,138,35
544999,381.6,360,1
545000,234.15,85,12
545001,317.38,230,22
545002,278.28,220,5
545004,741.26,512,35
545011,43.650000000000006,13,7
545012,20.4,24,1
545013,467.52,283,17
545014,502.85,211,27
545015,176.05,51,10
545016,68.4,67,5
545017,189.9,91,10
545018,302.86,234,12
545019,759.08,813,29
545020,74.60000000000001,28,4
545021,371.39,179,19
545022,522.75,229,30
545023,678.15,552,41
545024,304.73,42,33
545025,545.87,80,48
545026,247.8,204,4
545027,1180.5,294,73
545028,264.7,109,11
545029,69.0,20,2
545030,532.72,396,5
545031,401.37,171,23
545032,476.8,100,7
545034,179.35,66,4
545035,430.26,202,18
545036,168.6,39,28
545037,386.90000000000003,66,21
545038,65.13,38,29
545039,344.05,145,19
545041,524.95,209,16
545042,845.1,190,8
545043,197.15,78,20
545044,333.92,204,14
545045,592.5500000000001,248,62
545046,145.05,73,10
545047,182.8,40,2
545048,180.65,87,24
545049,109.85,101,6
545050,375.17,174,22
545051,110.6,71,5
545052,333.48,260,16
545053,318.03,209,62
545054,397.92,288,64
545055,6.6,4,1
545056,486.65000000000003,505,22
545057,299.14,140,13
545058,317.87,169,12
545059,269.18,186,37
545060,392.84000000000003,268,62
545061,14.95,1,1
545062,267.2,99,64
545063,134.72,47,36
545064,154.5,65,11
545065,412.55,217,10
545066,234.12,103,40
545067,258.4,64,29
545069,240.60000000000002,188,7
545070,240.0,168,8
545071,210.09,118,31
545072,549.26,346,15
545073,626.65,268,38
545074,306.70000000000005,278,12
545075,319.9,168,20
545076,147.9,147,9
545077,10.08,24,1
545078,899.96,186,126
545079,100.94999999999999,58,29
545080,301.91,301,24
545081,683.98,217,40
545082,421.6,228,26
545083,103.65,31,5
545084,441.92,270,19
545085,891.83,424,66
545086,353.43,214,13
545087,513.45,467,8
545103,11.9,2,1
545105,720.86,316,26
545140,149.95,15,3
545148,308.44,204,15
545149,251.9,101,13
545150,736.7,385,46
545151,50.76,84,3
545152,306.84000000000003,208,14
545153,200.4,77,20
545154,425.5,206,27
545155,122.0,20,11
545156,209.32,260,12
545157,205.38,150,12
545158,584.35,52,5
545159,13.05,17,4
545160,48.0,1,1
545161,195.0,124,9
545162,480.90000000000003,247,22
545163,216.04999999999998,139,13
545164,173.70000000000002,98,11
545165,94.05,21,18
545166,232.43,85,39
545170,170.04999999999998,34,7
545176,764.12,1,1
545180,200.72,73,12
545181,176.5,55,7
545182,154.99,460,14
545183,314.90000000000003,100,18
545184,249.57,133,14
545185,79.2,144,1
545186,229.9,114,47
545187,109.8,84,4
545188,582.37,366,125
545190,242.95000000000002,89,15
545191,240.25,104,14
545213,190.7,124,11
545214,158.68,100,10
545215,1995.37,573,225
545216,1520.38,369,179
545217,1420.78,356,167
545218,463.40999999999997,155,14
545220,235.35,73,15
545221,521.1,260,30
545222,200.10000000000002,94,9
545223,34.0,4,1
545224,182.7,86,11
545225,161.8,136,3
545226,1943.4,852,95
545227,2474.62,1273,98
545228,79.2,16,1
545229,54.300000000000004,18,3
545230,55.36,12,6
545231,307.62,255,12
545232,897.8,555,61
545233,72.12,100,10
545234,256.85,109,12
545235,352.2,247,17
545237,133.25,121,6
545238,395.33,434,28
545276,110.75,65,8
545279,122.5,53,7
545287,117.0,60,1
545288,1390.06,1003,33
545289,470.88,242,30
545290,209.05,113,17
545294,313.58,298,33
545295,762.5,384,14
545299,4.95,1,1
545300,323.16,116,19
545301,794.0600000000001,333,42
545302,297.16,107,38
545303,204.5,175,16
545304,498.15000000000003,151,30
545305,317.15,46,7
545306,13.2,6,2
545308,133.11,40,29
545309,138.15,49,7
545310,17.67,21,5
545311,155.0,108,9
545312,185.7,202,28
545313,242.03,135,10
545314,559.12,171,26
545315,231.06,34,24
545316,116.78999999999999,18,17
545317,580.41,77,49
545318,556.32,504,11
545319,412.32,152,4
545320,2541.15,669,6
545321,310.78,146,12
545322,580.57,349,15
545323,144.35,26,5
545324,268.6,68,27
545325,329.34,322,4
545326,34.75,5,2
545327,417.2,216,41
545328,119.65,59,6
545331,2.5,2,1
545332,840.3,3,3
545333,1734.52,429,160
545334,270.4,256,47
545336,551.2,2,1
545337,227.6,120,33
545338,338.34,156,51
545339,463.0,228,19
545340,1375.24,786,69
545341,1642.5,150,1
545342,194.55,109,10
545343,162.3,62,10
545344,312.18,182,18
545345,382.1,41,16
545346,312.38,110,18
545347,76.32000000000001,72,1
545348,134.97,87,4
545349,172.6,146,34
545377,122.07,62,37
545398,1463.47,958,46
545399,828.84,459,39
545400,501.99,281,23
545408,848.05,335,35
545410,615.33,371,40
545411,388.3,174,20
545412,597.8100000000001,203,7
545413,255.0,750,3
545414,838.8000000000001,24,1
545415,453.79,309,31
545416,603.17,231,21
545417,576.0,222,29
545418,85.0,10,1
545419,374.64,220,28
545423,337.1,176,23
545424,3.8,4,1
545425,100.42999999999999,43,11
545426,276.66,82,6
545427,9.95,1,1
545428,430.5,148,22
545429,150.83,67,24
545430,306.7,82,8
545431,374.0,128,4
545433,207.50000000000003,50,1
545435,183.0,60,11
545441,108.32000000000001,62,14
545445,779.9200000000001,292,41
545447,1193.88,546,66
545448,15.3,6,1
545459,136.12,150,15
545460,275.53,133,76
545461,401.45,219,22
545462,535.38,348,29
545463,96.75,57,3
545464,1749.57,434,193
545465,114.84,64,4
545466,1396.0,200,1
545467,105.45,15,4
545468,436.68,378,29
545469,345.85,85,18
545470,137.1,97,9
545471,306.94,470,15
545474,1120.53,363,31
545475,16726.84,10272,82
545477,134.5,28,16
545503,183.65,78,29
545505,482.81,347,5
545512,124.68,42,5
545514,222.65,257,20
545515,534.76,317,28
545517,38.4,25,2
545518,289.22,310,15
545519,348.2,236,14
545521,76.1,133,2
545522,303.03000000000003,149,17
545523,194.6,69,40
545524,191.95,29,12
545526,225.9,74,14
545530,2114.71,1345,98
545533,475.44,343,23
545534,222.3,98,13
545535,73.92,96,2
545536,410.0,126,19
545543,727.6,164,29
545544,294.33,459,20
545545,187.11,87,49
545550,148.49,203,7
545555,137.62,57,20
545557,249.83999999999997,193,5
545558,485.78000000000003,302,11
545559,287.22,137,51
545568,1799.3799999999999,522,225
545570,166.04000000000002,53,4
545571,602.61,319,36
545573,124.10000000000001,94,8
545574,122.7,80,18
545575,515.38,146,11
545576,99.75,13,3
545577,161.5,47,14
545578,137.49,95,8
545579,387.31,289,22
545580,378.21000000000004,211,20
545581,733.78,232,14
545582,3547.34,1976,23
545583,317.25,125,16
545584,7.95,1,1
545585,312.4,288,17
545586,44.85,43,11
545587,281.49,221,59
545588,222.99,131,15
545589,333.2,178,15
545590,316.11,275,23
545591,356.9,235,22
545592,369.95,125,18
545593,102.4,16,3
545595,167.91,85,20
545596,265.0,136,15
545597,50.15,10,9
545601,152.0,52,9
545602,109.16,87,13
545603,38.1,14,2
545630,332.4,108,8
545634,308.18,264,19
545635,240.68,224,16
545636,416.69,237,23
545637,292.03,261,20
545638,235.91,85,9
545644,1920.48,3528,5
545645,17.549999999999997,3,3
545646,38.0,14,6
545647,159.4,109,6
545648,96.8,60,6
545649,119.31,51,37
545652,50.8,16,3
545653,935.54,579,35
545654,345.68,256,17
545655,96.24,66,44
545656,99.0,12,6
545657,877.31,593,56
545658,296.62,260,79
545659,45.0,36,3
545660,310.77,159,37
545661,829.85,739,52
545662,208.2,92,11
545663,162.07999999999998,203,13
545664,463.63,84,18
545665,164.4,136,13
545667,1397.75,354,187
545668,532.13,301,10
545669,177.60000000000002,64,9
545670,292.75,65,5
545675,15.0,12,1
545676,246.76000000000002,152,6
545680,346.1,190,5
545681,655.03,289,58
545682,253.79,111,40
545683,529.88,232,57
545684,279.8,76,7
545685,122.87,70,42
545686,137.9,56,8
545687,506.35,344,72
545688,630.22,211,60
545690,427.03000000000003,185,110
545691,263.04,140,25
545692,510.7,188,15
545693,796.86,746,12
545694,120.0,96,1
545695,826.37,340,86
545696,222.05,111,20
545697,147.23,110,32
545698,225.14,19,15
545699,220.77,196,25
545700,166.45,150,16
545701,1695.21,826,65
545702,136.77,47,20
545703,7.95,1,1
545704,215.55,23,6
545705,217.2,74,14
545706,219.3,91,9
545707,673.9,506,4
545708,142.28,76,8
545709,282.66,191,18
545710,90.6,72,7
545711,159.3,66,8
545712,180.60000000000002,45,10
545713,5307.65,1365,120
545714,504.46000000000004,76,44
545715,786.23,118,50
545716,912.6899999999999,132,55
545717,638.94,79,46
545718,315.6,76,20
545719,1656.15,599,68
545721,590.5,251,41
545722,475.2000000000001,96,1
545725,162.85,47,5
545738,75.6,72,2
545748,1588.68,1476,14
545752,431.28,888,3
545759,806.05,204,23
545764,294.17,130,15
545790,17.0,2,1
545797,326.91,176,59
545812,638.65,313,37
545815,328.8,160,11
545819,102.0,44,15
545820,40.2,14,2
545821,591.02,338,27
545822,17.9,2,1
545826,318.24,301,16
545827,24.45,9,9
545830,451.66,123,50
545832,17.9,2,2
545835,117.55,41,22
545838,100.97,49,37
545842,557.0,238,30
545845,16.05,12,12
545851,108.97999999999999,58,20
545853,162.70000000000002,96,17
545854,580.79,374,34
545855,246.3,138,11
545856,89.70000000000002,24,4
545858,24.0,6,1
545859,593.9200000000001,276,16
545865,2597.4,1548,8
545868,145.70000000000002,52,25
545869,196.45000000000002,143,13
545870,15.3,6,1
545871,134.9,109,10
545872,379.25,282,89
545873,110.2,22,6
545874,79.4,70,8
545883,147.95000000000002,45,9
545888,416.22,322,5
545889,45.0,1,1
545890,92.80000000000001,24,5
545894,211.36,95,23
545895,2092.33,554,223
545896,61.589999999999996,118,5
545897,1762.22,577,255
545898,88.05000000000001,57,10
545899,74.7,25,12
545900,195.0,1,1
545901,1022.77,404,160
545902,250.0,2,2
545904,126.65,43,7
545905,197.0,196,14
545906,1120.93,623,59
545907,300.36,274,16
545908,461.25,251,20
545909,639.64,522,41
545910,237.35999999999999,444,19
545911,181.44,864,2
545912,325.1,50,6
545913,431.58,220,14
545914,3678.0299999999997,1605,51
545915,329.08,168,16
545916,278.13,77,13
545918,391.52,232,9
545928,357.18,134,19
545933,496.0,349,28
545937,1570.19,1109,56
545945,122.61,72,24
545978,671.16,446,115
545979,111.0,116,26
545980,250.87,138,49
545987,105.53999999999999,18,3
545988,301.4,169,19
